date,home_team,away_team,winner
1982/10/17,Indonesia,Malaysia,Indonesia
1982/11/27,Uganda,Kenya,Kenya
1983/2/6,Senegal,Niger,Senegal
1983/2/20,Gambia,Sierra Leone,Gambia
1983/2/27,Mali,Guinea,Mali
1983/4/22,Egypt,Congo,Egypt
1983/4/24,Mauritius,Ethiopia,Ethiopia
1983/7/18,Hong Kong,Thailand,Thailand
1983/8/28,Morocco,Nigeria,Nigeria
1983/10/20,Brazil,Paraguay,Brazil
1983/12/15,Ivory Coast,Mali,Ivory Coast
1983/12/18,Mali,Nigeria,Mali
1984/2/16,Sierra Leone,Mali,Sierra Leone
1984/2/19,Sierra Leone,Senegal,Senegal
1984/3/14,Egypt,Nigeria,Nigeria
1984/3/14,Algeria,Cameroon,Cameroon
1984/3/28,Iraq,Qatar,Iraq
1984/6/24,Denmark,Spain,Spain
1984/7/15,Senegal,Angola,Angola
1984/11/23,Kenya,Somalia,Kenya
1984/11/28,Ghana,Togo,Ghana
1984/12/8,Kenya,Somalia,Kenya
1984/12/13,Saudi Arabia,Iran,Saudi Arabia
1984/12/15,Malawi,Zambia,Zambia
1984/12/16,Iran,Kuwait,Kuwait
1984/12/16,Chad,Equatorial Guinea,Chad
1984/12/19,Central African Republic,Gabon,Gabon
1984/12/20,Congo,Cameroon,Cameroon
1985/4/16,Mozambique,Malawi,Mozambique
1985/4/21,Madagascar,Egypt,Egypt
1985/7/10,Bahrain,Qatar,Bahrain
1985/7/12,Saudi Arabia,Qatar,Saudi Arabia
1985/8/25,Mali,Guinea,Guinea
1985/9/15,Mozambique,Libya,Mozambique
1985/10/11,Kenya,Uganda,Kenya
1986/3/21,Egypt,Cameroon,Egypt
1986/6/21,Brazil,France,France
1986/6/21,Mexico,Germany,Germany
1986/6/22,Spain,Belgium,Belgium
1986/10/19,Gabon,Angola,Angola
1986/12/17,Chad,Gabon,Chad
1987/3/1,Mali,Sierra Leone,Mali
1987/3/2,Senegal,Sierra Leone,Senegal
1987/6/19,Australia,Egypt,Australia
1987/6/21,South Korea,Australia,South Korea
1987/7/19,DR Congo,Senegal,DR Congo
1987/12/13,Malawi,Zimbabwe,Zimbabwe
