co_price,co_open,co_high,co_low,co_volume,na_open,na_high,na_low,na_close,na_volume,na_change,predicted_na_change
0.2165404040404039,0.2038509836751778,0.1936725096194955,0.2426786811386441,0.2078499613302397,0.8367033337481429,0.8333944499807069,0.8403480860643511,0.8551737945544569,0.3791855367917927,-0.06,0.24432432432432435
0.2236952861952863,0.2134784428631226,0.1977340743907651,0.2500511980339954,0.1186774941995359,0.8658529704878046,0.8551462230252269,0.8618514361406262,0.8567428183204673,0.6033411674610825,-0.0,0.23783783783783785
0.198442760942761,0.214734198409376,0.1904660111158613,0.2320294900675814,0.1034029389017787,0.8589237152225162,0.8517427635340116,0.8681953691612596,0.8567654615997784,0.4461755812878778,-1.37,0.12945945945945944
0.1948653198653198,0.1923398911678526,0.1714407866609661,0.2013106696702846,0.105645784996133,0.8637224722772183,0.8670915511569437,0.8773832988568804,0.8937735497544621,0.3763665711607272,-0.32,0.006486486486486508
0.1872895622895622,0.1931770615320218,0.1761436511329626,0.2187180012287526,0.0753286929621036,0.8668197333366474,0.8761546902204873,0.882946430026305,0.9025373374039278,0.3186223378269538,-0.63,0.006486486486486474
0.1980218855218856,0.185014650481373,0.1731509191962374,0.2164652877329509,0.071307037896365,0.9032141400472072,0.8927400435529937,0.9078317724913598,0.9195403727163164,0.3068843497894028,-0.34,0.006486486486486486
0.2009680134680136,0.1896190874843031,0.1740059854638733,0.226909686668032,0.0461716937354988,0.9103472161002092,0.9028226662900743,0.9244381437731406,0.9288986732335384,0.286961788821844,-1.02,-0.09351351351351352
0.1618265993265994,0.1879447467559649,0.1637451902522444,0.1879991808314558,0.1731631863882443,0.9227930037588394,0.9316752990523536,0.9323949105042828,0.9571376960658158,0.3127054808085876,-0.81,-0.07459459459459461
0.1574074074074074,0.1523650062787778,0.1729371526293288,0.1910710628711858,0.3090100541376643,0.954721125761126,0.9569511138110748,0.968023362037458,0.979579877436308,0.309082746874051,-0.2,-0.0745945945945946
0.2001262626262625,0.1601088321473418,0.1742197520307824,0.1943477370468973,0.2409899458623356,0.9804043412763348,0.9722194561528216,0.9803572315768708,0.9850331544711206,0.3555527681318245,-0.07,-0.07459459459459458
0.210016835016835,0.1954792800334868,0.1864044463445917,0.2379684620110587,0.0587780355761794,0.9790953226405086,0.9695681840538392,0.9906516268563548,0.9869108414737876,0.3697713799067826,0.6,0.009189189189189173
0.2211700336700337,0.2080368354960233,0.1941000427533132,0.2463649395863199,0.1000773395204949,0.9838389665694404,0.969039910815219,0.969544772773091,0.970205913877838,0.3550906426185352,1.69,-0.07459459459459458
0.1872895622895622,0.2201758057764753,0.1981616075245831,0.2221994675404464,0.1049883990719257,0.9387086370297836,0.939662762444007,0.920121660183596,0.9242108402589102,0.3229316582383775,-0.52,-0.0745945945945946
0.1925505050505049,0.1892005023022183,0.1693031209918769,0.215236534917059,0.0603634957463263,0.9384148088895145,0.9223113873108016,0.9457761087648506,0.9384314800510076,0.1882748854588907,-0.99,-0.09351351351351353
0.179503367003367,0.1862704060276263,0.1631038905515176,0.2054065123899242,0.0600154679040989,0.9385049792047968,0.9409447602313568,0.947397178761167,0.9657463860646828,0.3355394325098697,0.04,-0.07459459459459464
0.1797138047138047,0.1778987023859355,0.1545532278751604,0.2033585910301043,0.0392884764114462,0.9622481468399302,0.948619153867927,0.9596989266509884,0.964506795923272,0.2637729907442862,-0.75,-0.07459459459459461
0.1826599326599327,0.1768522394307241,0.1669516887558786,0.2160557034609871,0.0352281515854601,0.9531482814915396,0.9610647446755356,0.9675746480801416,0.9854289856947782,0.3402069001940927,0.33,0.00918918918918919
0.1557239057239057,0.1766429468396817,0.1517742625053439,0.188203972967438,0.1468677494199536,0.9754053506175376,0.962631801480345,0.9818094572081006,0.9763129508151552,0.2714475751614138,-0.45,-0.07459459459459461
0.1765572390572389,0.1555043951444117,0.1479264643009834,0.1847225066557443,0.0847641144624903,0.975366869207134,0.9647846898057264,0.971594295274717,0.9888894866133352,0.327092438306244,-0.4,-0.07459459459459461
0.1401515151515153,0.1693177061532023,0.1605386917486106,0.1740733155846816,0.1291956689868522,0.9868494813675088,0.984065209983598,1.0000000000000002,0.9999999999999998,0.2425020135468794,1.28,-0.07459459459459461
0.1639309764309764,0.1318543323566345,0.1344591705857205,0.1648576694654924,0.0776875483372002,1.0,1.0000000000000002,0.971967070535199,0.9646654690303608,0.3550477309637297,0.5,-0.07459459459459458
0.202020202020202,0.1561322729175385,0.1757161179991448,0.187589596559492,0.1678654292343387,0.9480022136329108,0.9446682921183368,0.929868011507592,0.950784818208745,0.3354965208550642,-0.44,-0.07459459459459458
0.198442760942761,0.1938049393051484,0.1782813168020522,0.2281384394839238,0.0510827532869296,0.9260256018560402,0.9363955984865352,0.928164413853268,0.9630041697563196,0.131834506251898,2.28,-0.035405405405405446
0.0326178451178451,0.1967350355797403,0.1765711842667807,0.0671718206020888,0.311214230471771,0.9237715067697416,0.9159294098112593,0.9053470433859568,0.901364144861575,0.0201651768620357,-1.84,-0.04324324324324324
0.0726010101010099,0.0389284219338634,0.0820863616930311,0.0864222813843949,0.1505027068832173,0.9329615424334144,0.9336935998733852,0.9371466006976046,0.9521255368132826,0.2344824854430464,1.58,-0.07459459459459464
0.001473063973064,0.0740895772289658,0.0622060709705001,0.0178169158304319,0.2203016241299303,0.9324740030384092,0.9328348355395304,0.9045542163685484,0.9093888775129046,0.5330172174762666,1.86,-0.05729729729729732
